localId,project,crash_type,libs,non_libc,report_found
42470093,harfbuzz,Heap-buffer-overflow READ 8,,False,True
42470096,harfbuzz,Heap-buffer-overflow READ 8,,False,True
42470109,graphicsmagick,Heap-buffer-overflow WRITE 4,,False,True
42470179,wget2,Heap-buffer-overflow WRITE 1,,False,True
42470183,wireshark,Heap-buffer-overflow READ 1,,False,True
42470194,wireshark,Heap-buffer-overflow READ 1,,False,True
42470226,aom,Heap-use-after-free WRITE 2,,False,True
42470283,aom,Heap-buffer-overflow WRITE 4,,False,True
42470339,libxml2,Heap-use-after-free READ 1,,False,True
42470341,graphicsmagick,Heap-buffer-overflow WRITE 8,,False,True
42470347,ffmpeg,Heap-buffer-overflow READ {*},,False,True
42470348,libxml2,Heap-use-after-free READ 1,,False,True
42470379,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470383,harfbuzz,Heap-buffer-overflow READ 4,,False,True
42470395,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470443,graphicsmagick,Heap-buffer-overflow READ 1,,False,True
42470692,botan,Heap-buffer-overflow READ 1,,False,True
42470702,gdal,Heap-buffer-overflow READ 4,,False,True
42470745,open62541,Heap-use-after-free READ 8,,False,True
42470878,openvswitch,Heap-use-after-free READ 2,,False,True
42470938,openvswitch,Heap-buffer-overflow READ 1,,False,True
42470953,wpantund,Heap-use-after-free READ 4,,False,True
42470972,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470980,gdal,Heap-buffer-overflow READ {*},,False,True
42470989,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470991,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471044,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471086,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471100,libgit2,Heap-buffer-overflow READ 2,,False,True
42471105,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471108,libgit2,Heap-buffer-overflow READ 13,,False,True
42471111,libgit2,Heap-buffer-overflow READ 1,,False,True
42471116,libarchive,Heap-buffer-overflow WRITE 1,,False,True
42471140,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471169,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471184,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471192,harfbuzz,Heap-buffer-overflow WRITE 1,,False,True
42471280,openvswitch,Heap-buffer-overflow READ 1,,False,True
42471287,libgit2,Heap-buffer-overflow READ 1,,False,True
42471291,openvswitch,Heap-buffer-overflow READ 1,,False,True
42471294,libgit2,Heap-buffer-overflow READ 1,,False,True
42471317,libgit2,Heap-buffer-overflow READ 1,,False,True
42471319,libarchive,Heap-buffer-overflow READ 1,,False,True
42471373,poppler,Heap-use-after-free READ 4,,False,True
42471374,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471383,openvswitch,Heap-buffer-overflow WRITE {*},,False,True
42471394,harfbuzz,Heap-buffer-overflow READ {*},,False,True
42471424,harfbuzz,Heap-buffer-overflow READ 5,,False,True
42471519,openthread,Heap-buffer-overflow READ 8,,False,True
42471526,libgit2,Heap-buffer-overflow READ 1,,False,True
42471555,openvswitch,Heap-double-free,,False,True
42471578,librawspeed,Heap-buffer-overflow WRITE 2,,False,True
42471639,open62541,Heap-use-after-free READ 4,,False,True
42471681,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471682,aom,Heap-buffer-overflow READ {*},,False,True
42471685,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471829,harfbuzz,Heap-buffer-overflow READ 2,,False,True
42471892,harfbuzz,Heap-buffer-overflow READ {*},,False,True
42472056,openvswitch,Heap-buffer-overflow READ 2,,False,True
42472316,h2o,Heap-buffer-overflow READ 8,,False,True
42472424,imagemagick,Heap-buffer-overflow READ 1,,False,True
42472478,harfbuzz,Heap-double-free,,False,True
42472493,openvswitch,Heap-buffer-overflow READ 1,,False,True
42472557,harfbuzz,Heap-buffer-overflow READ 2,,False,True
42472574,openvswitch,Heap-buffer-overflow READ {*},,False,True
42472609,wireshark,Heap-buffer-overflow READ 1,,False,True
42472610,gdal,Heap-buffer-overflow WRITE {*},,False,True
42472675,libxml2,Heap-double-free,,False,True
42472677,libidn2,Heap-buffer-overflow WRITE {*},,False,True
42472681,yara,Heap-buffer-overflow READ 1,,False,True
42472718,ffmpeg,Heap-buffer-overflow READ 4,,False,True
42472801,harfbuzz,Heap-buffer-overflow READ 4,,False,True
42472819,aom,Heap-buffer-overflow READ 16,,False,True
42472945,readstat,Heap-buffer-overflow READ 8,,False,True
42473020,wireshark,Heap-buffer-overflow READ 1,,False,True
42473037,wireshark,Heap-buffer-overflow READ 1,,False,True
42473094,poppler,Heap-buffer-overflow READ 4,,False,True
42473117,libarchive,Heap-buffer-overflow READ 1,,False,True
42473118,kimageformats,Heap-buffer-overflow WRITE {*},,False,True
42473264,pcre2,Heap-buffer-overflow READ 1,,False,True
42473294,readstat,Heap-buffer-overflow READ 4,,False,True
42473363,gnutls,Heap-use-after-free READ 8,,False,True
42473400,pcre2,Heap-buffer-overflow READ 1,,False,True
42473403,readstat,Heap-buffer-overflow READ 1,,False,True
42473419,ffmpeg,Heap-buffer-overflow WRITE 2,,False,True
42473496,graphicsmagick,Heap-buffer-overflow READ 8,,False,True
42473518,imagemagick,Heap-buffer-overflow READ 8,,False,True
42473556,imagemagick,Heap-buffer-overflow READ 4,,False,True
42473565,file,Heap-buffer-overflow READ 1,,False,True
